No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
56,Granger,Jesse,Las Vegas Sun,"Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings"
57,Gregor,Jason,Oilers Nation,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
58,Gretz,Adam,NBC Sports,"Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals"
59,Gross,Andrew,Newsday,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning",Evgeni Malkin. Pittsburgh Penguins
60,Haggerty,Joe,NBC Sports Boston,Evgeni Malkin. Pittsburgh Penguins,"Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Blake Wheeler, Winnipeg Jets"
61,Halford,Mike,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
62,Halverson,Brian,Minnesota Hockey magazine,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
63,Harrington,Mike,Buffalo News,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
64,Haynes,Darren,The Canadian Press,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
65,Heika,Mike,Dallas Morning News,"Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
66,Hickey,Pat,Montreal Gazette,Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils","Sidney Crosby, Pittsburgh Penguins"
67,Hine,Chris,Minneapolis Star Tribune,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers"
68,Hoffren,Sami,Iltasanomat,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
69,Hoppe,Bill,Olean Times Herald,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
70,Hornby,Lance,Toronto Sun,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers","Pekka Rinne, Nashville Predators"
71,Hughes,Travis,SB Nation,"Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings"
72,Hughson,Jim,HNIC,"Anze Kopitar, Los Angeles Kings","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Claude Giroux, Philadelphia Flyers"
73,Isaac,Dave,South Jersey Courier-Post,"Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
74,Johnston,Chris,Sportsnet,"Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
75,Kaplan,Emily,ESPN,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Alex Ovechkin, Washington Capitals","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
76,Kay,Jason,The Hockey News,"Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning"
77,Kennedy,Ryan,The Hockey News,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
78,Khan,Ansar,MLive Media Group,"Claude Giroux, Philadelphia Flyers",Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers","Taylor Hall, New Jersey Devils"
79,Koshan,Terry,Toronto Sun,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
80,Kovacevic,Dejan,DKonPittsburghSports.com,"Taylor Hall, New Jersey Devils",Evgeni Malkin. Pittsburgh Penguins,"Nikita Kucherov, Tampa Bay Lightning","Alex Ovechkin, Washington Capitals","Nathan MacKinnon, Colorado Avalanche"
81,Kulfan,Ted,Detroit News,"Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers"
82,Kurz,Kevin,The Athletic,"Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning","Nathan MacKinnon, Colorado Avalanche","Alex Ovechkin, Washington Capitals","Claude Giroux, Philadelphia Flyers"
83,Kuzma,Ben,The Province,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Nikita Kucherov, Tampa Bay Lightning","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers"
84,Kypreos,Nick,HNIC,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
85,Labbe,Richard,La Presse,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Pekka Rinne, Nashville Predators"
86,Lalime,Patrick,TVA,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings"
87,Larkin,Matt,The Hockey News,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
88,Lavoie,Renaud,TVA,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning"
89,Lazerus,Mark,Chicago Sun-Times,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Nikita Kucherov, Tampa Bay Lightning"
90,Leahy,Sean,NBC Sports,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
91,LeBrun,Pierre,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
92,Lefrancois,Guillaume,La Presse,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Drew Doughty, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
93,Loftus,Mike,Patriot Ledger,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings","Blake Wheeler, Winnipeg Jets"
94,Lukan,Alison,The Athletic,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings"
