No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
98,Masters,Mark,TSN,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Roman Josi, Nashville Predators"
99,Matheson,Jim,Edmonton Journal,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets"
100,Matsuda,Gann,Frozen Royalty,"Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Roman Josi, Nashville Predators","Victor Hedman, Tampa Bay Lightning","John Carlson, W ashington Capitals"
101,McDonald,Joe,Boston Sports Journal,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Zdeno Chara, Boston Bruins","Seth Jones, Columbus Blue Jackets"
102,McGran,Kevin,Toronto Star,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Brent Burns, San Jose Sharks","Ryan Suter, Minnesota Wild","John Carlson, W ashington Capitals"
103,McGuire,Pierre,NBCSN,"John Carlson, W ashington Capitals","John Klingberg, Dallas Stars","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators"
104,McIndoe,Sean,Sportsnet,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
105,McIntyre,Mike,Winnipeg Free Press,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Roman Josi, Nashville Predators","Seth Jones, Columbus Blue Jackets"
106,McKenzie,Bob,TSN,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","Roman Josi, Nashville Predators"
107,McKeon,Ross,San Francisco Chronicle,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","John Klingberg, Dallas Stars"
