No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
89,Lazerus,Mark,Chicago Sun-Times,"William Karlsson, Vegas Golden Knights","Alex DeBrincat, Chicago Blackhawks","Jared Spurgeon, Minnesota Wild","Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings"
90,Leahy,Sean,NBC Sports,"Ryan O'Reilly, Buffalo Sabres","Evgenii Dadonov, Florida Panthers","Alex DeBrincat, Chicago Blackhawks","Marc-Edouard Vlasic, San Jose Sharks","William Karlsson, Vegas Golden Knights"
91,LeBrun,Pierre,The Athletic,"William Karlsson, Vegas Golden Knights","Marc-Edouard Vlasic, San Jose Sharks","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Rickard Rakell, Anaheim Ducks"
92,Lefrancois,Guillaume,La Presse,"William Karlsson, Vegas Golden Knights","Ryan O'Reilly, Buffalo Sabres","Jason Pominville, Buffalo Sabres","Henrik Zetterberg, Detroit Red Wings","Jared Spurgeon, Minnesota Wild"
93,Loftus,Mike,Patriot Ledger,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Marc-Edouard Vlasic, San Jose Sharks"
94,Lukan,Alison,The Athletic,"Ryan O'Reilly, Buffalo Sabres","Connor McDavid, Edmonton Oilers","Aleksander Barkov, Florida Panthers","William Karlsson, Vegas Golden Knights","Evgenii Dadonov, Florida Panthers"
95,MacGregor,Roy,The Globe and Mail,"Johnny Gaudreau, Calgary Flames","William Karlsson, Vegas Golden Knights","Auston Matthews, Toronto Maple Leafs","Vladimir Tarasenko, St. Louis Blues","Ryan O'Reilly, Buffalo Sabres"
96,MacIntyre,Iain,Sportsnet,"Henrik Zetterberg, Detroit Red Wings","Ryan O'Reilly, Buffalo Sabres","Henrik Sedin, Vancouver Canucks","Johnny Gaudreau, Calgary Flames","Patrick Marleau, Toronto Maple Leafs"
97,Mackey,Jason,Pittsburgh Post-Gazette,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Johnny Gaudreau, Calgary Flames","Ryan O'Reilly, Buffalo Sabres","Alex DeBrincat, Chicago Blackhawks"
98,Masters,Mark,TSN,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Ryan O'Reilly, Buffalo Sabres","Aleksander Barkov, Florida Panthers","Alex Pietrangelo, St. Louis Blues"
99,Matheson,Jim,Edmonton Journal,"Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","Anze Kopitar, Los Angeles Kings","Marc-Edouard Vlasic, San Jose Sharks","Claude Giroux, Philadelphia Flyers"
100,Matsuda,Gann,Frozen Royalty,"David Pastrnak, Boston Bruins","Anze Kopitar, Los Angeles Kings","William Karlsson, Vegas Golden Knights","Patrik Laine, Winnipeg Jets","Aleksander Barkov, Florida Panthers"
