player,TEAM,GP,G,A,PTS,PIM,PTS/G,SOG,PCT,GWG,G,A,G,A
DUNCAN.SIEMENS,COL,16,1,1,2,23,0.13,14,7.1,0,0,0,0,0
TUCKER.POOLMAN,WPG,24,1,1,2,0,0.08,27,3.7,0,0,0,0,0
PETER.CEHLARIK,BOS,6,1,1,2,2,0.33,3,33.3,0,0,0,0,0
LIAS.ANDERSSON,NYR,7,1,1,2,0,0.29,5,20,0,0,0,0,0
KALLE.KOSSILA,ANA,10,1,1,2,0,0.2,9,11.1,0,0,0,0,0
ANDY.WELINSKI,ANA,7,0,2,2,0,0.29,6,0,0,0,0,0,0
JASON.DICKINSON,DAL,27,0,2,2,17,0.07,16,0,0,0,0,0,0
DOMINIC.TONINATO,COL,37,0,2,2,12,0.05,25,0,0,0,0,0,0
LOUIS.BELPEDIO,MIN,1,0,2,2,0,2,0,0,0,0,0,0,0
GABRIEL.CARLSSON,CBJ,14,0,2,2,4,0.14,18,0,0,0,0,0,0
ASHTON.SAUTNER,VAN,5,0,2,2,2,0.4,3,0,0,0,0,0,0
BLAKE.HILLMAN,CHI,4,1,0,1,0,0.25,5,20,0,0,0,1,0
LUCAS.WALLMARK,CAR,11,1,0,1,2,0.09,16,6.3,0,0,0,0,0
BRENDAN.LEMIEUX,WPG,9,1,0,1,21,0.11,6,16.7,0,0,0,0,0
SAMI.NIKU,WPG,1,1,0,1,0,1,2,50,0,0,0,0,0
OWEN.TIPPETT,FLA,7,1,0,1,0,0.14,17,5.9,0,0,0,0,0
ALEXANDER.NYLANDER,BUF,3,1,0,1,0,0.33,2,50,0,0,0,0,0
HENRIK.BORGSTROM,FLA,4,1,0,1,0,0.25,6,16.7,0,0,0,0,0
NICK.PAUL,OTT,11,1,0,1,0,0.09,11,9.1,0,0,0,0,0
PATRICK.SIELOFF,OTT,1,1,0,1,0,1,3,33.3,0,0,0,0,0
NATHAN.WALKER,EDM/WSH,9,1,0,1,6,0.11,6,16.7,0,0,0,0,0
JEAN-SEBASTIEN.DEA,PIT,5,1,0,1,2,0.2,1,100,1,0,0,0,0
DANIEL.BRICKLEY,LA,1,0,1,1,0,1,0,0,0,0,0,0,0
VICTOR.EJDSELL,CHI,6,0,1,1,0,0.17,7,0,0,0,0,0,0
HENRIK.HAAPALA,FLA,5,0,1,1,0,0.2,3,0,0,0,0,0,0
DRYDEN.HUNT,FLA,11,0,1,1,2,0.09,12,0,0,0,0,0,0
SHANE.GERSICH,WSH,3,0,1,1,0,0.33,4,0,0,0,0,0,0
BRETT.LERNOUT,MTL,18,0,1,1,6,0.06,14,0,0,0,0,0,1
RYAN.LOMBERG,CGY,7,0,1,1,15,0.14,5,0,0,0,0,0,0
JORDAN.GREENWAY,MIN,6,0,1,1,0,0.17,4,0,0,0,0,0,0
CALLE.ROSEN,TOR,4,0,1,1,4,0.25,5,0,0,0,0,0,0
LOGAN.BROWN,OTT,4,0,1,1,0,0.25,4,0,0,0,0,0,0
DILLON.HEATHERINGTON,DAL,6,0,1,1,26,0.17,6,0,0,0,0,0,0
BEN.HARPUR,OTT,41,0,1,1,21,0.02,26,0,0,0,0,0,0
JAYCOB.MEGNA,ANA,14,0,1,1,2,0.07,7,0,0,0,0,0,0
TRAVIS.BOYD,WSH,8,0,1,1,2,0.13,2,0,0,0,0,0,0
JORDAN.SCHMALTZ,STL,13,0,1,1,6,0.08,5,0,0,0,0,0,0
